"Region","Item","Variable","Scenario","Model","Year","value"
"World","All cereals","Yield","Historical","FAO",1986,2.4877186435785
"World","Coarse grains","Yield","Historical","FAO",1987,2.69029567369301
"World","Rice","Yield","Historical","FAO",1987,3.27104542604566
"World","Wheat","Yield","Historical","FAO",1987,2.25357797352522
"World","All cereals","Yield","Historical","FAO",1987,2.51351395031972
"World","Coarse grains","Yield","Historical","FAO",1988,2.70304843168739
"World","Rice","Yield","Historical","FAO",1988,3.32453688201271
"World","Wheat","Yield","Historical","FAO",1988,2.33198490708062
"World","All cereals","Yield","Historical","FAO",1988,2.55868126514026
"World","Coarse grains","Yield","Historical","FAO",1989,2.71578764986929
"World","Rice","Yield","Historical","FAO",1989,3.38179867591814
"World","Wheat","Yield","Historical","FAO",1989,2.3544115928919
"World","All cereals","Yield","Historical","FAO",1989,2.58327586891875
"World","Coarse grains","Yield","Historical","FAO",1990,2.77007602180217
"World","Rice","Yield","Historical","FAO",1990,3.44363036899383
"World","Wheat","Yield","Historical","FAO",1990,2.40215235049816
"World","All cereals","Yield","Historical","FAO",1990,2.63096014473322
"World","Coarse grains","Yield","Historical","FAO",1991,2.84154922958735
"World","Rice","Yield","Historical","FAO",1991,3.50239427691502
"World","Wheat","Yield","Historical","FAO",1991,2.44942536195377
"World","All cereals","Yield","Historical","FAO",1991,2.68498660312259
"World","Coarse grains","Yield","Historical","FAO",1992,2.9078692560007
"World","Rice","Yield","Historical","FAO",1992,3.54305650864757
"World","Wheat","Yield","Historical","FAO",1992,2.46473119204688
"World","All cereals","Yield","Historical","FAO",1992,2.72135919537692
"World","Coarse grains","Yield","Historical","FAO",1993,2.91326995976164
"World","Rice","Yield","Historical","FAO",1993,3.56908896967857
"World","Wheat","Yield","Historical","FAO",1993,2.45468853497057
"World","All cereals","Yield","Historical","FAO",1993,2.72285106041364
"World","Coarse grains","Yield","Historical","FAO",1994,2.9953141984753
"World","Rice","Yield","Historical","FAO",1994,3.6185822624459
"World","Wheat","Yield","Historical","FAO",1994,2.4820891777718
"World","All cereals","Yield","Historical","FAO",1994,2.77475624167843
"World","Coarse grains","Yield","Historical","FAO",1995,3.04406614955606
"World","Rice","Yield","Historical","FAO",1995,3.66470015812042
"World","Wheat","Yield","Historical","FAO",1995,2.51483251779259
"World","All cereals","Yield","Historical","FAO",1995,2.81576759349489
"World","Coarse grains","Yield","Historical","FAO",1996,3.16330181150468
"World","Rice","Yield","Historical","FAO",1996,3.70147423551153
"World","Wheat","Yield","Historical","FAO",1996,2.54728802666357
"World","All cereals","Yield","Historical","FAO",1996,2.87992879569494
"World","Coarse grains","Yield","Historical","FAO",1997,3.22408242375512
"World","Rice","Yield","Historical","FAO",1997,3.74852985518799
"World","Wheat","Yield","Historical","FAO",1997,2.60511383255
"World","All cereals","Yield","Historical","FAO",1997,2.93712016606724
"World","Coarse grains","Yield","Historical","FAO",1998,3.31031369804871
"World","Rice","Yield","Historical","FAO",1998,3.79286540457533
"World","Wheat","Yield","Historical","FAO",1998,2.64456887876401
"World","All cereals","Yield","Historical","FAO",1998,2.99532321114877
"World","Coarse grains","Yield","Historical","FAO",1999,3.35626520303839
"World","Rice","Yield","Historical","FAO",1999,3.82362909275691
"World","Wheat","Yield","Historical","FAO",1999,2.68062164899364
"World","All cereals","Yield","Historical","FAO",1999,3.03396958106239
"World","Coarse grains","Yield","Historical","FAO",2000,3.39684005340622
"World","Rice","Yield","Historical","FAO",2000,3.83330479383031
"World","Wheat","Yield","Historical","FAO",2000,2.67967236595312
"World","All cereals","Yield","Historical","FAO",2000,3.05196760986849
"World","Coarse grains","Yield","Historical","FAO",2001,3.40603554174162
"World","Rice","Yield","Historical","FAO",2001,3.85928299952645
"World","Wheat","Yield","Historical","FAO",2001,2.6757139723363
"World","All cereals","Yield","Historical","FAO",2001,3.0610777287989
"World","Coarse grains","Yield","Historical","FAO",2002,3.49750127936
"World","Rice","Yield","Historical","FAO",2002,3.88662440194936
"World","Wheat","Yield","Historical","FAO",2002,2.70900530170562
"World","All cereals","Yield","Historical","FAO",2002,3.11175430789164
"World","Coarse grains","Yield","Historical","FAO",2003,3.57220549930782
"World","Rice","Yield","Historical","FAO",2003,3.9276033442307
"World","Wheat","Yield","Historical","FAO",2003,2.7365362586812
"World","All cereals","Yield","Historical","FAO",2003,3.15608565376673
"World","Coarse grains","Yield","Historical","FAO",2004,3.62020664532925
"World","Rice","Yield","Historical","FAO",2004,3.96256051245039
"World","Wheat","Yield","Historical","FAO",2004,2.7546940944941
"World","All cereals","Yield","Historical","FAO",2004,3.18658247107045
"World","Coarse grains","Yield","Historical","FAO",2005,3.71319944449852
"World","Rice","Yield","Historical","FAO",2005,4.03397197321766
"World","Wheat","Yield","Historical","FAO",2005,2.78046708089794
"World","All cereals","Yield","Historical","FAO",2005,3.2456909743741
"World","Coarse grains","Yield","Historical","FAO",2006,3.8300904732709
"World","Rice","Yield","Historical","FAO",2006,4.10165468138137
"World","Wheat","Yield","Historical","FAO",2006,2.86041935427161
"World","All cereals","Yield","Historical","FAO",2006,3.33353075894671
"World","Coarse grains","Yield","Historical","FAO",2007,3.87668955571494
"World","Rice","Yield","Historical","FAO",2007,4.16193488432878
"World","Wheat","Yield","Historical","FAO",2007,2.88510215426592
"World","All cereals","Yield","Historical","FAO",2007,3.37376806028593
"World","Coarse grains","Yield","Historical","FAO",2008,3.95736644160041
"World","Rice","Yield","Historical","FAO",2008,4.21114238505588
"World","Wheat","Yield","Historical","FAO",2008,2.90813546539451
"World","All cereals","Yield","Historical","FAO",2008,3.42760899732774
"World","Coarse grains","Yield","Historical","FAO",2009,4.04514545105715
"World","Rice","Yield","Historical","FAO",2009,4.27375120204205
"World","Wheat","Yield","Historical","FAO",2009,2.96895328826501
"World","All cereals","Yield","Historical","FAO",2009,3.49940151222661
"World","Coarse grains","Yield","Historical","FAO",2010,4.07220848913323
"World","Coarse grains","Yield","20 year linear trend","FAO",2010,4.07220848913323
"World","Rice","Yield","Historical","FAO",2010,4.32952718447186
"World","Rice","Yield","20 year linear trend","FAO",2010,4.32952718447186
"World","Wheat","Yield","Historical","FAO",2010,3.01669255771861
"World","Wheat","Yield","20 year linear trend","FAO",2010,3.01669255771861
"World","All cereals","Yield","Historical","FAO",2010,3.54673570777489
"World","All cereals","Yield","20 year linear trend","FAO",2010,3.54673570777489
"World","Coarse grains","Yield","20 year linear trend","FAO",2020,4.73139406603687
"World","Rice","Yield","20 year linear trend","FAO",2020,4.74884777941992
"World","Wheat","Yield","20 year linear trend","FAO",2020,3.31149888477056
"World","All cereals","Yield","20 year linear trend","FAO",2020,3.99831262107358
"World","Coarse grains","Yield","20 year linear trend","FAO",2030,5.39057964294051
"World","Rice","Yield","20 year linear trend","FAO",2030,5.16816837436797
"World","Wheat","Yield","20 year linear trend","FAO",2030,3.60630521182251
"World","All cereals","Yield","20 year linear trend","FAO",2030,4.44988953437229
"World","Coarse grains","Yield","20 year linear trend","FAO",2040,6.04976521984415
"World","Rice","Yield","20 year linear trend","FAO",2040,5.58748896931603
"World","Wheat","Yield","20 year linear trend","FAO",2040,3.90111153887445
"World","All cereals","Yield","20 year linear trend","FAO",2040,4.901466447671
"World","Coarse grains","Yield","20 year linear trend","FAO",2050,6.70895079674779
"World","Rice","Yield","20 year linear trend","FAO",2050,6.00680956426407
"World","Wheat","Yield","20 year linear trend","FAO",2050,4.1959178659264
"World","All cereals","Yield","20 year linear trend","FAO",2050,5.35304336096969
"World","Coarse grains","Yield","SSP2","AIM/CGE",2010,4.07220848913323
"World","Coarse grains","Yield","SSP2","GCAM",2010,4.07220848913323
"World","Coarse grains","Yield","SSP2","GLOBIOM",2010,4.07220848913323
"World","Coarse grains","Yield","SSP2","IMAGE",2010,4.07220848913323
"World","Coarse grains","Yield","SSP2","IMPACT",2010,4.07220848913323
"World","Coarse grains","Yield","SSP2","MAgPIE",2010,4.07220848913323
"World","Rice","Yield","SSP2","AIM/CGE",2010,4.32952718447186
"World","Rice","Yield","SSP2","GCAM",2010,4.32952718447186
"World","Rice","Yield","SSP2","GLOBIOM",2010,4.32952718447186
"World","Rice","Yield","SSP2","IMAGE",2010,4.32952718447186
"World","Rice","Yield","SSP2","IMPACT",2010,4.32952718447186
"World","Rice","Yield","SSP2","MAgPIE",2010,4.32952718447186
"World","Wheat","Yield","SSP2","AIM/CGE",2010,3.01669255771861
"World","Wheat","Yield","SSP2","GCAM",2010,3.01669255771861
"World","Wheat","Yield","SSP2","GLOBIOM",2010,3.01669255771861
"World","Wheat","Yield","SSP2","IMAGE",2010,3.01669255771861
"World","Wheat","Yield","SSP2","IMPACT",2010,3.01669255771861
"World","Wheat","Yield","SSP2","MAgPIE",2010,3.01669255771861
"World","All cereals","Yield","SSP2","AIM/CGE",2010,3.54673570777489
"World","All cereals","Yield","SSP2","GCAM",2010,3.54673570777489
"World","All cereals","Yield","SSP2","GLOBIOM",2010,3.54673570777489
"World","All cereals","Yield","SSP2","IMAGE",2010,3.54673570777489
"World","All cereals","Yield","SSP2","IMPACT",2010,3.54673570777489
"World","All cereals","Yield","SSP2","MAgPIE",2010,3.54673570777489
"World","Coarse grains","Yield","SSP2","AIM/CGE",2020,4.44695736778548
"World","Coarse grains","Yield","SSP2","GCAM",2020,4.36382160027545
"World","Coarse grains","Yield","SSP2","GLOBIOM",2020,4.75234479070094
"World","Coarse grains","Yield","SSP2","IMAGE",2020,4.55967585149349
"World","Coarse grains","Yield","SSP2","IMPACT",2020,4.60212278709946
"World","Coarse grains","Yield","SSP2","MAgPIE",2020,4.68964711939419
"World","Rice","Yield","SSP2","AIM/CGE",2020,4.6961381013744
"World","Rice","Yield","SSP2","GCAM",2020,4.52661225652048
"World","Rice","Yield","SSP2","GLOBIOM",2020,4.95785499823224
"World","Rice","Yield","SSP2","IMAGE",2020,5.04529875642642
"World","Rice","Yield","SSP2","IMPACT",2020,4.66912598967893
"World","Rice","Yield","SSP2","MAgPIE",2020,4.89235233750624
"World","Wheat","Yield","SSP2","AIM/CGE",2020,3.26836449919778
"World","Wheat","Yield","SSP2","GCAM",2020,3.25880333633858
"World","Wheat","Yield","SSP2","GLOBIOM",2020,3.42555163900461
"World","Wheat","Yield","SSP2","IMAGE",2020,3.53736399690696
"World","Wheat","Yield","SSP2","IMPACT",2020,3.33710177793266
"World","Wheat","Yield","SSP2","MAgPIE",2020,3.31727295517958
"World","All cereals","Yield","SSP2","AIM/CGE",2020,3.86508854004378
"World","All cereals","Yield","SSP2","GCAM",2020,3.79260950581067
"World","All cereals","Yield","SSP2","GLOBIOM",2020,4.0944791880409
"World","All cereals","Yield","SSP2","IMAGE",2020,4.09780509856203
"World","All cereals","Yield","SSP2","IMPACT",2020,3.93531541026608
"World","All cereals","Yield","SSP2","MAgPIE",2020,3.99806661565736
"World","Coarse grains","Yield","SSP2","AIM/CGE",2030,4.70764996906793
"World","Coarse grains","Yield","SSP2","GCAM",2030,4.61370016389378
"World","Coarse grains","Yield","SSP2","GLOBIOM",2030,5.15698284353236
"World","Coarse grains","Yield","SSP2","IMAGE",2030,4.9862120011694
"World","Coarse grains","Yield","SSP2","IMPACT",2030,5.02611763918105
"World","Coarse grains","Yield","SSP2","MAgPIE",2030,5.06936232144521
"World","Rice","Yield","SSP2","AIM/CGE",2030,5.07916084049006
"World","Rice","Yield","SSP2","GCAM",2030,4.77930128183514
"World","Rice","Yield","SSP2","GLOBIOM",2030,5.44676374687039
"World","Rice","Yield","SSP2","IMAGE",2030,5.58845125739408
"World","Rice","Yield","SSP2","IMPACT",2030,5.03777859566144
"World","Rice","Yield","SSP2","MAgPIE",2030,5.28252831711357
"World","Wheat","Yield","SSP2","AIM/CGE",2030,3.56188565410835
"World","Wheat","Yield","SSP2","GCAM",2030,3.52732203048669
"World","Wheat","Yield","SSP2","GLOBIOM",2030,3.75842805916666
"World","Wheat","Yield","SSP2","IMAGE",2030,3.966094752623
"World","Wheat","Yield","SSP2","IMPACT",2030,3.65620902679448
"World","Wheat","Yield","SSP2","MAgPIE",2030,3.62741966011259
"World","All cereals","Yield","SSP2","AIM/CGE",2030,4.14991723659148
"World","All cereals","Yield","SSP2","GCAM",2030,4.03360682404898
"World","All cereals","Yield","SSP2","GLOBIOM",2030,4.47264509591374
"World","All cereals","Yield","SSP2","IMAGE",2030,4.54355234344742
"World","All cereals","Yield","SSP2","IMPACT",2030,4.28776604416919
"World","All cereals","Yield","SSP2","MAgPIE",2030,4.35127034434291
"World","Coarse grains","Yield","SSP2","AIM/CGE",2040,4.93206417944522
"World","Coarse grains","Yield","SSP2","GCAM",2040,4.7856087058478
"World","Coarse grains","Yield","SSP2","GLOBIOM",2040,5.40450080138136
"World","Coarse grains","Yield","SSP2","IMAGE",2040,5.25049259662938
"World","Coarse grains","Yield","SSP2","IMPACT",2040,5.40797840283833
"World","Coarse grains","Yield","SSP2","MAgPIE",2040,5.19632309986322
"World","Rice","Yield","SSP2","AIM/CGE",2040,5.46276658944606
"World","Rice","Yield","SSP2","GCAM",2040,4.9743028169604
"World","Rice","Yield","SSP2","GLOBIOM",2040,5.82545607240513
"World","Rice","Yield","SSP2","IMAGE",2040,5.78709259497796
"World","Rice","Yield","SSP2","IMPACT",2040,5.2364211841069
"World","Rice","Yield","SSP2","MAgPIE",2040,5.57108012921539
"World","Wheat","Yield","SSP2","AIM/CGE",2040,3.87633473252966
"World","Wheat","Yield","SSP2","GCAM",2040,3.62065487310146
"World","Wheat","Yield","SSP2","GLOBIOM",2040,3.99994437488207
"World","Wheat","Yield","SSP2","IMAGE",2040,4.17832093758294
"World","Wheat","Yield","SSP2","IMPACT",2040,3.90587939151332
"World","Wheat","Yield","SSP2","MAgPIE",2040,3.83437164437738
"World","All cereals","Yield","SSP2","AIM/CGE",2040,4.41810358624475
"World","All cereals","Yield","SSP2","GCAM",2040,4.16468171716882
"World","All cereals","Yield","SSP2","GLOBIOM",2040,4.73033484783498
"World","All cereals","Yield","SSP2","IMAGE",2040,4.76286179846672
"World","All cereals","Yield","SSP2","IMPACT",2040,4.56857079552153
"World","All cereals","Yield","SSP2","MAgPIE",2040,4.54409581560639
"World","Coarse grains","Yield","SSP2","AIM/CGE",2050,5.15150717723973
"World","Coarse grains","Yield","SSP2","GCAM",2050,4.99136785962086
"World","Coarse grains","Yield","SSP2","GLOBIOM",2050,5.54870691595426
"World","Coarse grains","Yield","SSP2","IMAGE",2050,5.5266540563179
"World","Coarse grains","Yield","SSP2","IMPACT",2050,5.81110968995394
"World","Coarse grains","Yield","SSP2","MAgPIE",2050,5.30324251740671
"World","Rice","Yield","SSP2","AIM/CGE",2050,5.77857115276407
"World","Rice","Yield","SSP2","GCAM",2050,5.18022571707138
"World","Rice","Yield","SSP2","GLOBIOM",2050,6.15893140384617
"World","Rice","Yield","SSP2","IMAGE",2050,5.99244210846532
"World","Rice","Yield","SSP2","IMPACT",2050,5.33580846995546
"World","Rice","Yield","SSP2","MAgPIE",2050,5.58036942532717
"World","Wheat","Yield","SSP2","AIM/CGE",2050,4.16914643161577
"World","Wheat","Yield","SSP2","GCAM",2050,3.73417657205972
"World","Wheat","Yield","SSP2","GLOBIOM",2050,4.15733703006739
"World","Wheat","Yield","SSP2","IMAGE",2050,4.38948601767241
"World","Wheat","Yield","SSP2","IMPACT",2050,4.10007928957643
"World","Wheat","Yield","SSP2","MAgPIE",2050,4.19201918541324
"World","All cereals","Yield","SSP2","AIM/CGE",2050,4.65960011066397
"World","All cereals","Yield","SSP2","GCAM",2050,4.32118974824523
"World","All cereals","Yield","SSP2","GLOBIOM",2050,4.90438042701585
"World","All cereals","Yield","SSP2","IMAGE",2050,4.9864345599089
"World","All cereals","Yield","SSP2","IMPACT",2050,4.82607116551501
"World","All cereals","Yield","SSP2","MAgPIE",2050,4.74578406410385
"World","All cereals","Attainable yield","Attainable yield (linear)","AY_av",1990,4.33710785214933
"World","All cereals","Attainable yield","Attainable yield (linear)","AY_av",2010,5.06725525153131
"World","All cereals","Attainable yield","Attainable yield (linear)","AY_av",2020,5.4323289512223
"World","All cereals","Attainable yield","Attainable yield (linear)","AY_av",2030,5.79740265091329
"World","All cereals","Attainable yield","Attainable yield (linear)","AY_av",2040,6.16247635060428
"World","All cereals","Attainable yield","Attainable yield (linear)","AY_av",2050,6.52755005029527
"World","Coarse grains","Attainable yield","Attainable yield (linear)","AY_av",1990,4.96874837418937
"World","Coarse grains","Attainable yield","Attainable yield (linear)","AY_av",2010,5.91517663601593
"World","Coarse grains","Attainable yield","Attainable yield (linear)","AY_av",2020,6.38839076692922
"World","Coarse grains","Attainable yield","Attainable yield (linear)","AY_av",2030,6.8616048978425
"World","Coarse grains","Attainable yield","Attainable yield (linear)","AY_av",2040,7.33481902875578
"World","Coarse grains","Attainable yield","Attainable yield (linear)","AY_av",2050,7.80803315966906
"World","Rice","Attainable yield","Attainable yield (linear)","AY_av",1990,5.06902423844889
"World","Rice","Attainable yield","Attainable yield (linear)","AY_av",2010,5.89421423075451
"World","Rice","Attainable yield","Attainable yield (linear)","AY_av",2020,6.30680922690733
"World","Rice","Attainable yield","Attainable yield (linear)","AY_av",2030,6.71940422306014
"World","Rice","Attainable yield","Attainable yield (linear)","AY_av",2040,7.13199921921296
"World","Rice","Attainable yield","Attainable yield (linear)","AY_av",2050,7.54459421536577
"World","Wheat","Attainable yield","Attainable yield (linear)","AY_av",1990,3.92203172471633
"World","Wheat","Attainable yield","Attainable yield (linear)","AY_av",2010,4.4568542321351
"World","Wheat","Attainable yield","Attainable yield (linear)","AY_av",2020,4.72426548584448
"World","Wheat","Attainable yield","Attainable yield (linear)","AY_av",2030,4.99167673955387
"World","Wheat","Attainable yield","Attainable yield (linear)","AY_av",2040,5.25908799326326
"World","Wheat","Attainable yield","Attainable yield (linear)","AY_av",2050,5.52649924697264
"World","All cereals","Attainable yield","Attainable yield (plateau)","AY_av",1990,4.33710785214933
"World","Coarse grains","Attainable yield","Attainable yield (plateau)","AY_av",1990,4.96874837418937
"World","Rice","Attainable yield","Attainable yield (plateau)","AY_av",1990,5.06902423844889
"World","Wheat","Attainable yield","Attainable yield (plateau)","AY_av",1990,3.92203172471633
"World","All cereals","Attainable yield","Attainable yield (plateau)","AY_av",2010,5.06725525153131
"World","Coarse grains","Attainable yield","Attainable yield (plateau)","AY_av",2010,5.91517663601593
"World","Rice","Attainable yield","Attainable yield (plateau)","AY_av",2010,5.89421423075451
"World","Wheat","Attainable yield","Attainable yield (plateau)","AY_av",2010,4.4568542321351
"World","All cereals","Attainable yield","Attainable yield (plateau)","AY_av",2020,5.34106052629955
"World","Coarse grains","Attainable yield","Attainable yield (plateau)","AY_av",2020,6.2700872342009
"World","Rice","Attainable yield","Attainable yield (plateau)","AY_av",2020,6.20366047786912
"World","Wheat","Attainable yield","Attainable yield (plateau)","AY_av",2020,4.65741267241714
"World","All cereals","Attainable yield","Attainable yield (plateau)","AY_av",2030,5.52359737614505
"World","Coarse grains","Attainable yield","Attainable yield (plateau)","AY_av",2030,6.50669429965754
"World","Rice","Attainable yield","Attainable yield (plateau)","AY_av",2030,6.40995797594553
"World","Wheat","Attainable yield","Attainable yield (plateau)","AY_av",2030,4.79111829927183
"World","All cereals","Attainable yield","Attainable yield (plateau)","AY_av",2040,5.61486580106779
"World","Coarse grains","Attainable yield","Attainable yield (plateau)","AY_av",2040,6.62499783238586
"World","Rice","Attainable yield","Attainable yield (plateau)","AY_av",2040,6.51310672498373
"World","Wheat","Attainable yield","Attainable yield (plateau)","AY_av",2040,4.85797111269918
"World","All cereals","Attainable yield","Attainable yield (plateau)","AY_av",2050,5.61486580106779
"World","Coarse grains","Attainable yield","Attainable yield (plateau)","AY_av",2050,6.62499783238586
"World","Rice","Attainable yield","Attainable yield (plateau)","AY_av",2050,6.51310672498373
"World","Wheat","Attainable yield","Attainable yield (plateau)","AY_av",2050,4.85797111269918
"World","All cereals","Attainable yield (linear)","Mueller et al.","Mueller et al.",2000,4.97733782874415
"World","Coarse grains","Attainable yield (linear)","Mueller et al.","Mueller et al.",2000,5.58500744702005
"World","Rice","Attainable yield (linear)","Mueller et al.","Mueller et al.",2000,5.70162858018279
"World","Wheat","Attainable yield (linear)","Mueller et al.","Mueller et al.",2000,4.66530010926031
"World","All cereals","Attainable yield (linear)","GYGA","GYGA",2005,4.70467529591554
"World","Coarse grains","Attainable yield (linear)","GYGA","GYGA",2005,5.37008274694269
"World","Rice","Attainable yield (linear)","GYGA","GYGA",2005,5.53991875213718
"World","Wheat","Attainable yield (linear)","GYGA","GYGA",2005,4.37832647114981
"World","All cereals","Attainable yield (linear)","Fischer et al.","Fischer et al.",1990,4.24317352803118
"World","All cereals","Attainable yield (linear)","Fischer et al.","Fischer et al.",2010,4.95750718590484
"World","Coarse grains","Attainable yield (linear)","Fischer et al.","Fischer et al.",1990,5.10806809353621
"World","Rice","Attainable yield (linear)","Fischer et al.","Fischer et al.",1990,4.99746930941539
"World","Wheat","Attainable yield (linear)","Fischer et al.","Fischer et al.",1990,3.42649018319887
"World","Coarse grains","Attainable yield (linear)","Fischer et al.","Fischer et al.",2010,6.08103344476431
"World","Rice","Attainable yield (linear)","Fischer et al.","Fischer et al.",2010,5.81101082490161
"World","Wheat","Attainable yield (linear)","Fischer et al.","Fischer et al.",2010,3.89373884410989
"World","Coarse grains","Yield","SSP1","AIM/CGE",2010,4.07220848913323
"World","Coarse grains","Yield","SSP1","GCAM",2010,4.07220848913323
"World","Coarse grains","Yield","SSP1","GLOBIOM",2010,4.07220848913323
"World","Coarse grains","Yield","SSP1","IMAGE",2010,4.07220848913323
"World","Coarse grains","Yield","SSP1","IMPACT",2010,4.07220848913323
"World","Coarse grains","Yield","SSP1","MAgPIE",2010,4.07220848913323
"World","Rice","Yield","SSP1","AIM/CGE",2010,4.32952718447186
"World","Rice","Yield","SSP1","GCAM",2010,4.32952718447186
