"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","Nsurplus","Rum_feed_all","Mon_feed_water","Plant_food_water","Yield","NUEinc"
"164","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:DietShift_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,0.0460073354631625,0.0404902515686387,0.165781434296127,0.666377314640676,0.37234751552795,0.0569511111111112
"165","Chang et al. (2021)",2050,"GLOBIOM","Agriculture","Scenario:NUE_CC:None_Nboundary:No_constrain",143.5708599,9.18085990000003,-0.299015911069004,0.436463388216036,0.833506642228541,0.595923305941896,0.483578260869565,0.389073333333333
"166","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU",159.302698812501,24.9126988125013,0.580695571480276,0.791056606780627,0.802978662595083,0.548581554140418,0,-0.0171428571428572
"167","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)",159.302698812501,24.9126988125013,0.456812498511128,0.604967179647803,0.617995499144527,0.387307204693961,0,-0.0152380952380953
"168","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",159.302698812501,24.9126988125013,0.167632702890216,-0.0960521202723734,-0.0919053729388294,0.747332141530787,0,-0.0533333333333334
"170","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)",159.302698812501,24.9126988125013,0.630105309776285,0.791056606780627,0.802978662595083,0.548581554140418,0.5,-0.0190476190476191
"172","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)",159.302698812501,24.9126988125013,0.149281266369105,0.791056606780627,0.802978662595083,0.548581554140418,0,0.182857142857143
"173","Mogollon et al. (2018a)",2020,"IMAGE-GNM","Agriculture","SSP1",112.318631058822,-22.071368941178,-0.346578158490167,-0.0284907190434291,0.093161301775869,0.122241597942263,0.169811320754717,0.27383489163065
"178","Mogollon et al. (2018a)",2030,"IMAGE-GNM","Agriculture","SSP1",112.318631058822,-22.071368941178,-0.475954398783614,-0.0987561510878923,0.118165921166541,0.202950368856176,0.311320754716981,0.396591679510205
"180","Mogollon et al. (2018a)",2030,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.478544801692525,0.21988169765017,0.131549454520184,0.264042574790913,0.254716981132076,-0.112217792694276
"183","Mogollon et al. (2018a)",2040,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.513441198918637,0.272407588562709,0.175424964163241,0.336412931501056,0.29874213836478,-0.0932015515866988
"186","Mogollon et al. (2018a)",2050,"IMAGE-GNM","Agriculture","SSP4",112.318631058822,-22.071368941178,0.43344477746747,0.324306875701684,0.222088169307596,0.389636165625764,0.346991778169788,-0.0271578551025599
